term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Antriebsfeder,,spring,,,Die Antriebsfeder im alten Uhrwerk musste ersetzt werden.,The mainspring in the old clockwork had to be replaced.,"bulk-import,web-example",,web:curated-2026-03
Arbeitsvermittlung,,"labour exchange",,,Die Arbeitsvermittlung half ihm schnell eine neue Stelle zu finden.,The employment office helped him find a new job quickly.,"bulk-import,web-example",,web:curated-2026-03
Artigkeit,,prettiness,,,Ihre Artigkeit wirkte auf viele Leute sehr altmodisch.,Her prettiness seemed very old-fashioned to many people.,"bulk-import,web-example",,web:curated-2026-03
artistisch,,artistic,,,Die Bühne hatte eine sehr artistische Beleuchtung.,The stage had very artistic lighting.,"bulk-import,web-example",,web:curated-2026-03
attractiv,,attractive,,,Das neue Angebot wirkt auf junge Kunden sehr attractiv.,The new offer seems very attractive to young customers.,"bulk-import,web-example",,web:curated-2026-03
aufbrauchen,,"use up",,,Wir dürfen das ganze Wasser nicht heute aufbrauchen.,We must not use up all the water today.,"bulk-import,web-example",,web:curated-2026-03
aufhäufen,,"pile up",,,Auf dem Schreibtisch darf sich keine Arbeit aufhäufen.,No work should pile up on the desk.,"bulk-import,web-example",,web:curated-2026-03
aufknöpfen,,unbutton,,,Sie wollte den Mantel im warmen Zimmer aufknöpfen.,She wanted to unbutton her coat in the warm room.,"bulk-import,web-example",,web:curated-2026-03
aufrichten,,raise,,,Nach dem Sturm mussten wir den Zaun wieder aufrichten.,After the storm we had to raise the fence again.,"bulk-import,web-example",,web:curated-2026-03
aufrühren,,"stir up",,,Du musst das Pulver gut im Wasser aufrühren.,You have to stir the powder well into the water.,"bulk-import,web-example",,web:curated-2026-03
aushöhlen,,"hollow out",,,Der Regen kann den weichen Boden langsam aushöhlen.,The rain can slowly hollow out the soft ground.,"bulk-import,web-example",,web:curated-2026-03
Auslandspolitik,,"foreign politics",,,Seine Auslandspolitik wurde im Parlament scharf kritisiert.,His foreign policy was sharply criticized in parliament.,"bulk-import,web-example",,web:curated-2026-03
Ausrutscher,,slip,,,Der Satz war nur ein unglücklicher Ausrutscher.,The remark was only an unfortunate slip.,"bulk-import,web-example",,web:curated-2026-03
Aussteller,,exhibitor,,,Jeder Aussteller bekam einen kleinen Tisch auf der Messe.,Each exhibitor got a small table at the trade fair.,"bulk-import,web-example",,web:curated-2026-03
ausweiten,,widen,,,Die Firma will ihr Geschäft nach Asien ausweiten.,The company wants to widen its business into Asia.,"bulk-import,web-example",,web:curated-2026-03
Baumspitze,,"top of the tree",,,Auf der Baumspitze saß ein kleiner Vogel.,A small bird sat at the top of the tree.,"bulk-import,web-example",,web:curated-2026-03
bdeckend,,covering,,,Die Wolken bildeten eine bdeckende Schicht über dem Tal.,The clouds formed a covering layer over the valley.,"bulk-import,web-example",,web:curated-2026-03
begehren,,desire,,,Viele Menschen begehren ein ruhiges Leben.,Many people desire a quiet life.,"bulk-import,web-example",,web:curated-2026-03
begierig,,eager,,,Die Kinder warteten begierig auf die Überraschung.,The children waited eagerly for the surprise.,"bulk-import,web-example",,web:curated-2026-03
beginnen,,"begin (irr.)",,,Wir beginnen morgen mit der zweiten Phase.,We begin the second phase tomorrow.,"bulk-import,web-example",,web:curated-2026-03
begleiten,,"see (irr.)",,,Kannst du mich heute Abend zum Bahnhof begleiten?,Can you accompany me to the station this evening?,"bulk-import,web-example",,web:curated-2026-03
begonnen,,begun,,,Die Arbeiten haben schon vor einer Woche begonnen.,The work had already begun a week ago.,"bulk-import,web-example",,web:curated-2026-03
begraben,,bury,,,Sie mussten den Hund im Garten begraben.,They had to bury the dog in the garden.,"bulk-import,web-example",,web:curated-2026-03
Begrenzung,,limitation,,,Die Begrenzung der Geschwindigkeit gilt auch nachts.,The speed limitation also applies at night.,"bulk-import,web-example",,web:curated-2026-03
begrüßen,,greet,,,Ich möchte unsere Gäste persönlich begrüßen.,I would like to greet our guests personally.,"bulk-import,web-example",,web:curated-2026-03
Begrüßung,,greeting,,,Seine freundliche Begrüßung entspannte sofort die Stimmung.,His friendly greeting relaxed the mood immediately.,"bulk-import,web-example",,web:curated-2026-03
begünstigen,,favour,,,Die warmen Temperaturen begünstigen das Wachstum der Pflanzen.,The warm temperatures favour the growth of the plants.,"bulk-import,web-example",,web:curated-2026-03
behalten,,kept,,,Ich habe den Brief als Erinnerung behalten.,I kept the letter as a reminder.,"bulk-import,web-example",,web:curated-2026-03
behandeln,,treat,,,Der Arzt wird die Verletzung sofort behandeln.,The doctor will treat the injury immediately.,"bulk-import,web-example",,web:curated-2026-03
Behandlung,,treatment,,,Die Behandlung dauerte länger als erwartet.,The treatment lasted longer than expected.,"bulk-import,web-example",,web:curated-2026-03
behaupten,,claim,,,Er behaupten wollte niemand ernst nehmen.,Nobody wanted to take his claim seriously.,"bulk-import,web-example",,web:curated-2026-03
