term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
abbiegen,,turn,German word meaning 'turn'.,,"""abbiegen"" bedeutet ""turn"".","""abbiegen"" means ""turn"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abend,,evening,German noun meaning 'evening'.,noun,"""Abend"" bedeutet ""evening"".","""Abend"" means ""evening"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abendessen,,dinner,German noun meaning 'dinner'.,noun,"""Abendessen"" bedeutet ""dinner"".","""Abendessen"" means ""dinner"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abendkleidung,,evening dress,German noun meaning 'evening dress'.,noun,"""Abendkleidung"" bedeutet ""evening dress"".","""Abendkleidung"" means ""evening dress"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abenteuer,,adventure,German noun meaning 'adventure'.,noun,"""Abenteuer"" bedeutet ""adventure"".","""Abenteuer"" means ""adventure"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
aber,,but,German word meaning 'but'.,,"""aber"" bedeutet ""but"".","""aber"" means ""but"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abfahren,,leave (irr.),German word meaning 'leave (irr.)'.,,"""abfahren"" bedeutet ""leave (irr.)"".","""abfahren"" means ""leave (irr.)"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abfall,,waste,German noun meaning 'waste'.,noun,"""Abfall"" bedeutet ""waste"".","""Abfall"" means ""waste"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abfliegen,,start,German word meaning 'start'.,,"""abfliegen"" bedeutet ""start"".","""abfliegen"" means ""start"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abgabe,,tax,German noun meaning 'tax'.,noun,"""Abgabe"" bedeutet ""tax"".","""Abgabe"" means ""tax"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abgehoben,,withdrawn,German word meaning 'withdrawn'.,,"""abgehoben"" bedeutet ""withdrawn"".","""abgehoben"" means ""withdrawn"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abgenutzt,,worn-out,German word meaning 'worn-out'.,,"""abgenutzt"" bedeutet ""worn-out"".","""abgenutzt"" means ""worn-out"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abgeordneter,,representative,German noun meaning 'representative'.,noun,"""Abgeordneter"" bedeutet ""representative"".","""Abgeordneter"" means ""representative"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abgrenzung,,boundary,German noun meaning 'boundary'.,noun,"""Abgrenzung"" bedeutet ""boundary"".","""Abgrenzung"" means ""boundary"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abhang,,slope,German noun meaning 'slope'.,noun,"""Abhang"" bedeutet ""slope"".","""Abhang"" means ""slope"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abhängen,,depend,German word meaning 'depend'.,,"""abhängen"" bedeutet ""depend"".","""abhängen"" means ""depend"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abhängig,,dependent,German word meaning 'dependent'.,,"""abhängig"" bedeutet ""dependent"".","""abhängig"" means ""dependent"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abhängigkeit,,dependence,German noun meaning 'dependence'.,noun,"""Abhängigkeit"" bedeutet ""dependence"".","""Abhängigkeit"" means ""dependence"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abhärten,,harden,German word meaning 'harden'.,,"""abhärten"" bedeutet ""harden"".","""abhärten"" means ""harden"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abklären,,clear,German word meaning 'clear'.,,"""abklären"" bedeutet ""clear"".","""abklären"" means ""clear"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abkühlen,,cool,German word meaning 'cool'.,,"""abkühlen"" bedeutet ""cool"".","""abkühlen"" means ""cool"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
ablehnen,,refuse,German word meaning 'refuse'.,,"""ablehnen"" bedeutet ""refuse"".","""ablehnen"" means ""refuse"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Ablehnung,,refusal,German noun meaning 'refusal'.,noun,"""Ablehnung"" bedeutet ""refusal"".","""Ablehnung"" means ""refusal"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abmachung,,arrangement,German noun meaning 'arrangement'.,noun,"""Abmachung"" bedeutet ""arrangement"".","""Abmachung"" means ""arrangement"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abnahme,,lessening,German noun meaning 'lessening'.,noun,"""Abnahme"" bedeutet ""lessening"".","""Abnahme"" means ""lessening"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abnehmen,,decrease,German word meaning 'decrease'.,,"""abnehmen"" bedeutet ""decrease"".","""abnehmen"" means ""decrease"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abnutzen,,wear down,German word meaning 'wear down'.,,"""abnutzen"" bedeutet ""wear down"".","""abnutzen"" means ""wear down"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abnutzung,,wear,German noun meaning 'wear'.,noun,"""Abnutzung"" bedeutet ""wear"".","""Abnutzung"" means ""wear"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abrechnung,,account,German noun meaning 'account'.,noun,"""Abrechnung"" bedeutet ""account"".","""Abrechnung"" means ""account"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abreise,,departure,German noun meaning 'departure'.,noun,"""Abreise"" bedeutet ""departure"".","""Abreise"" means ""departure"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abreisen,,start,German word meaning 'start'.,,"""abreisen"" bedeutet ""start"".","""abreisen"" means ""start"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Absatz,,heel,German noun meaning 'heel'.,noun,"""Absatz"" bedeutet ""heel"".","""Absatz"" means ""heel"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abschreiben,,copy,German word meaning 'copy'.,,"""abschreiben"" bedeutet ""copy"".","""abschreiben"" means ""copy"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
