term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
atmend,,breathing,,,Atme.,Breathe.,"bulk-import,tatoeba-example-short",,tatoeba:9143195
aufschreien,,cry out,,,,,"bulk-import,tatoeba-example-short",,tatoeba:12362775
Aufstand,,rising,,,,,"bulk-import,tatoeba-example-short",,tatoeba:7188587
aufsteigend,,rising,,,,,"bulk-import,tatoeba-example-short",,tatoeba:6330304
aufstreichen,,spread (irr.),,,,,,"bulk-import,tatoeba-example-short",,tatoeba:13517949
aus,,out,,,Atme aus.,Breathe out.,"bulk-import,tatoeba-example-short",,tatoeba:8861461
ausbessern,,mend,,,"Schreibt mit Bleistift, damit ihr nachher, falls nötig, noch etwas mit dem Radiergummi ausbessern könnt.","Write with a pencil so that you can, if necessary, rub out what you've written.","bulk-import,tatoeba-example-short",,tatoeba:3697720
ausbilden,,study,,,Ich will mich auf dieser Schule ausbilden lassen.,I want to study in that school.,"bulk-import,tatoeba-example-short",,tatoeba:7955677
Ausbildung,,training,,,Eure Ausbildung ist wichtig.,Your education is important.,"bulk-import,tatoeba-example-short",,tatoeba:8131959
ausbreiten,,spread (irr.),,,Robbi kann seinen linken Flügel nicht mehr ausbreiten.,Bob can no longer unfurl its left wing.,"bulk-import,tatoeba-example-short",,tatoeba:11079932
Ausbruch,,outbreak,,,Der Ausbruch schwärzte den Himmel.,The eruption blackened the skies.,"bulk-import,tatoeba-example-short",,tatoeba:9006934
ausdehnen,,extend,,,"Wenn sich der Weltraum ausdehnt, wohinein deht er sich aus?","When space expands, what is it expanding into?","bulk-import,tatoeba-example-short",,tatoeba:12423799
Ausdehnung,,extension,,,"Die Astronomen machten die überraschende Beobachtung, dass die Ausdehnung des Universums schneller wird.",The astronomers made the surprising discovery that the expansion of the universe is speeding up.,"bulk-import,tatoeba-example-short",,tatoeba:8717286
Ausdruck,,expression,,,Dieser Ausdruck wird übersetzt.,This expression gets translated.,"bulk-import,tatoeba-example-short",,tatoeba:13203070
ausdrücken,,express,,,Ebendas wollte ich ausdrücken.,That's what I tried to express.,"bulk-import,tatoeba-example-short",,tatoeba:13076156
Ausgabe,,expenses,,,Tom kalkulierte seine Ausgaben.,Tom calculated his expenses.,"bulk-import,tatoeba-example-short",,tatoeba:11911371
Ausgaben,,expense,,,Tom kalkulierte seine Ausgaben.,Tom calculated his expenses.,"bulk-import,tatoeba-example-short",,tatoeba:11911371
Ausgang,,exit,,,Kein Ausgang!,There's no way out.,"bulk-import,tatoeba-example-short",,tatoeba:9165391
ausgeben,,spend (irr.),,,Wir sollten kein Geld ausgeben.,We shouldn't spend money.,"bulk-import,tatoeba-example-short",,tatoeba:13311918
ausgebreitet,,spread,,,Wie hat sich der Islam ausgebreitet?,How did Islam spread?,"bulk-import,tatoeba-example-short",,tatoeba:12448621
ausgegeben,,spent,,,Ich habe nichts ausgegeben.,I didn't hand out anything.,"bulk-import,tatoeba-example-short",,tatoeba:4193288
ausgehen,,go out,,,Lass uns ausgehen!,Let's go out.,"bulk-import,tatoeba-example-short",,tatoeba:9998543
ausgehend,,go out,,,Lass uns ausgehen!,Let's go out.,"bulk-import,tatoeba-example-short",,tatoeba:9998543
ausgeliehen,,lent,,,Ich habe es ausgeliehen!,I borrowed it!,"bulk-import,tatoeba-example-short",,tatoeba:5103458
ausgeschaltet,,off,,,War Ihr Telefon ausgeschaltet?,Was your phone switched off?,"bulk-import,tatoeba-example-short",,tatoeba:13757648
ausgezeichnet,,excellent,,,Ausgezeichnet!,Great!,"bulk-import,tatoeba-example-short",,tatoeba:850089
Auskunft,,information,,,Wo ist die Auskunft?,Where's the information desk?,"bulk-import,tatoeba-example-short",,tatoeba:744364
auslassen,,omit,,,Könnt ihr mich auslassen?,Can you skip me?,"bulk-import,tatoeba-example-short",,tatoeba:3730878
Auslaß,,outlet,,,,,"bulk-import,tatoeba-example-short",,tatoeba:3730878
Ausländer,,foreigner,,,Seid ihr Ausländer?,Are you foreigners?,"bulk-import,tatoeba-example-short",,tatoeba:11002341
ausländisch,,foreign,,,Ich sammle ausländische Münzen.,I collect foreign coins.,"bulk-import,tatoeba-example-short",,tatoeba:9159934
Ausmaß,,extent,,,Welche Ausmaße hat das Zimmer?,What are the dimensions of the room?,"bulk-import,tatoeba-example-short",,tatoeba:2457741
Ausnahme,,exception,,,Gibt es Ausnahmen?,Are there any exceptions?,"bulk-import,tatoeba-example-short",,tatoeba:13469938
auspacken,,unpack,,,Ich möchte auspacken.,I'd like to unpack.,"bulk-import,tatoeba-example-short",,tatoeba:12500992
Ausruf,,interjection,,,"""Ah!"" ist ein Ausruf.","""Ah!"" is an interjection.","bulk-import,tatoeba-example-short",,tatoeba:425
ausrutschen,,slip,,,"Passen Sie auf, dass Sie nicht ausrutschen.",Be careful not to slip.,"bulk-import,tatoeba-example-short",,tatoeba:2993911
ausschalten,,turn off,,,Nicht das Licht ausschalten!,Don't turn off the light.,"bulk-import,tatoeba-example-short",,tatoeba:12188498
Ausschuss,,committee,,,Der Ausschuss hat zehn Mitglieder.,The committee has ten members.,"bulk-import,tatoeba-example-short",,tatoeba:2082897
ausschweifend,,gay,,,Sie führen ein ausschweifendes Leben.,They are leading a loose life.,"bulk-import,tatoeba-example-short",,tatoeba:1684443
Aussehen,,looks,,,Aussehen ist alles.,Looks are everything.,"bulk-import,tatoeba-example-short",,tatoeba:3222848
Aussichtspunkt,,look-out,,,Der Hügel ist ein guter Aussichtspunkt.,The top of the hill is a good vantage point.,"bulk-import,tatoeba-example-short",,tatoeba:10503905
Aussprache,,pronunciation,,,Verbessert bitte meine Aussprache!,Please correct my pronunciation.,"bulk-import,tatoeba-example-short",,tatoeba:13180162
aussprechen,,finish speaking,,,Lass ihn aussprechen.,Let him finish.,"bulk-import,tatoeba-example-short",,tatoeba:5907081
ausstehend,,outstanding,,,,,"bulk-import,tatoeba-example-short",,tatoeba:12642150
ausstellen,,turn off,,,Bitte ausstellen!,"Turn it off, please.","bulk-import,tatoeba-example-short",,tatoeba:5713518
Ausstellung,,exhibition,,,Sie besichtigten die Ausstellung.,They saw the exhibit.,"bulk-import,tatoeba-example-short",,tatoeba:12925439
Ausstoß,,output,,,Der Ausstoß dieser Fabrik hat sich um 20% erhöht.,The output of this factory has increased by 20%.,"bulk-import,tatoeba-example-short",,tatoeba:658415
Austausch,,exchange,,,Möchtet ihr Links austauschen?,Would you like to exchange links?,"bulk-import,tatoeba-example-short",,tatoeba:2068721
austauschen,,exchange,,,Möchtet ihr Links austauschen?,Would you like to exchange links?,"bulk-import,tatoeba-example-short",,tatoeba:2068721
austeilen,,deal,,,"Er kann austeilen, aber nicht einstecken.","He can dish it out, but he can't take it.","bulk-import,tatoeba-example-short",,tatoeba:3135586
Australien,,Australia,,,Mögen Sie Australien?,Do you like Australia?,"bulk-import,tatoeba-example-short",,tatoeba:13413652
ausverkaufen,,sell out,,,Ausverkauft.,Sold out.,"bulk-import,tatoeba-example-short",,tatoeba:4931979
Auswahl,,choice,,,Was steht zur Auswahl?,What is there to choose from?,"bulk-import,tatoeba-example-short",,tatoeba:10756501
auswendig,,by heart,,,Lern das auswendig!,Memorize this.,"bulk-import,tatoeba-example-short",,tatoeba:3498568
Außenbezirke,,outskirts,,,Herr Yamada lebt im Außenbezirk von Tokio.,Mr. Yamada lives in the suburbs of Tokyo.,"bulk-import,tatoeba-example-short",,tatoeba:10032007
Außenseite,,outside,,,Tom trägt die Innenseite seines Hemds als Außenseite.,Tom put on his shirt inside out.,"bulk-import,tatoeba-example-short",,tatoeba:5954634
außer,,out of,,,Tom ist außer Sichtweite.,Tom is out of sight.,"bulk-import,tatoeba-example-short",,tatoeba:13733315
außerdem,,moreover,,,Außerdem kann ich fliegen.,"Moreover, I can fly.","bulk-import,tatoeba-example-short",,tatoeba:10485232
außergewöhnlich,,extraordinary,,,Wie außergewöhnlich!,How extraordinary!,"bulk-import,tatoeba-example-short",,tatoeba:12537646
