term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Abendkleidung,,"evening dress",,,"Ich kenne einen Schneider, bei dem Sie Abendkleidung leihen können.",I know a tailor where you can rent evening wear.,"bulk-import,web-example",,web:reverso-context:abendkleidung
Abmachung,,arrangement,,,"Wir hatten mit ihm eine Abmachung und er hat uns betrogen.","We had a deal with him, and he cheated us.","bulk-import,web-example",,web:reverso-context:abmachung
Abnahme,,lessening,,,Diese Abnahme resultiert vor allem aus der tieferen variablen Vergütung.,This decrease was primarily the result of the lower variable compensation.,"bulk-import,web-example",,web:reverso-context:abnahme
Abreise,,departure,,,"Ich denke, wir sollten uns jetzt auf die Abreise vorbereiten.",I think it best that we now prepare for our departure.,"bulk-import,web-example",,web:reverso-context:abreise
Absatz,,heel,,,Ich habe mir den Absatz von meinem Schuh abgebrochen.,I broke my heel off one of my shoes.,"bulk-import,web-example",,web:reverso-context:absatz
abschreiben,,copy,,,"Er erkannte zu spät, dass Abschreiben seinem Ruf schaden könnte.",He realized too late that cribbing notes could damage his reputation.,"bulk-import,web-example",,web:reverso-context:abschreiben
Abschrift,,copy,,,"Es gab einen Fehler in der Abschrift, die jetzt repariert worden ist.",There was a mistake in the transcript that has been fixed now.,"bulk-import,web-example",,web:reverso-context:abschrift
Absender,,sender,,,Gestern erhielt ich einen befremdlichen Brief von einem unbekannten Absender.,I received a peculiar letter from an unknown sender yesterday.,"bulk-import,web-example",,web:reverso-context:absender
absperren,,lock,,,Man muss hier die Türen nicht absperren.,You don't have to lock your doors around here.,"bulk-import,web-example",,web:reverso-context:absperren
abstauben,,dust,,,Mit einem weichen Tuch nach Bedarf abstauben.,Dust with a soft cloth whenever necessary.,"bulk-import,web-example",,web:reverso-context:abstauben
