term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Antwort,,reply,,,Antworten Sie!,Answer!,"bulk-import,tatoeba-example",,tatoeba:12834188
antworten,,reply,,,Antworten Sie!,Answer!,"bulk-import,tatoeba-example",,tatoeba:12834188
anvertrauen,,entrust,,,Ich werde mich dir anvertrauen.,I'm going to confide in you.,"bulk-import,tatoeba-example",,tatoeba:10949797
Anweisungen,,directions,,,Lest diese Anweisungen.,Read these instructions.,"bulk-import,tatoeba-example",,tatoeba:7448256
anwenden,,apply,,,Nur äußerlich anwenden.,External application only.,"bulk-import,tatoeba-example",,tatoeba:6084407
anwesend,,present,,,Sei anwesend.,Be there.,"bulk-import,tatoeba-example",,tatoeba:931990
Anwesenheit,,presence,,,Die Lehrerin überprüfte die Anwesenheit.,The teacher called the roll.,"bulk-import,tatoeba-example",,tatoeba:10033240
anziehen,,attract,,,Anziehen!,Get dressed!,"bulk-import,tatoeba-example",,tatoeba:6632261
Anzug,,suit,,,Schöner Anzug.,Nice costume.,"bulk-import,tatoeba-example",,tatoeba:8295470
anzünden,,light (irr.),,,Nicht die Kerze anzünden!,Don't light the candle.,"bulk-import,tatoeba-example",,tatoeba:4265707
Apfel,,apple,,,Schäle den Apfel!,Peel the apple.,"bulk-import,tatoeba-example",,tatoeba:6398616
Apotheker,,chemist,,,Wir sind Apotheker.,We're pharmacists.,"bulk-import,tatoeba-example",,tatoeba:13468963
Appetit,,appetite,,,Guten Appetit.,Bon appetit.,"bulk-import,tatoeba-example",,tatoeba:4229511
applaudieren,,applaud,,,Alle Studenten applaudieren.,All the students applaud.,"bulk-import,tatoeba-example",,tatoeba:2038228
Applaus,,applause,,,Es hagelte Applaus.,There was a flurry of applause.,"bulk-import,tatoeba-example",,tatoeba:12575757
April,,April,,,"April, April!",April fools!,"bulk-import,tatoeba-example",,tatoeba:3279558
Arbeit,,work,,,Sie arbeiten.,They're working.,"bulk-import,tatoeba-example",,tatoeba:9998562
arbeiten,,work,,,Sie arbeiten.,They're working.,"bulk-import,tatoeba-example",,tatoeba:9998562
Arbeiterklasse,,working-class,,,Die Gewerkschaftsbewegung ist der Kapitalismus der Arbeiterklasse.,The trade union movement is the capitalism of the working class.,"bulk-import,tatoeba-example",,tatoeba:2888482
Arbeitgeber,,employer,,,Mein Arbeitgeber ist sehr reich.,My employer is very rich.,"bulk-import,tatoeba-example",,tatoeba:10022508
Arbeitnehmer,,employee,,,Ihre Arbeitnehmer leben am Arbeitsplatz.,Their employees live in.,"bulk-import,tatoeba-example",,tatoeba:401767
arbeitslos,,unemployed,,,Ich war arbeitslos.,I was unemployed.,"bulk-import,tatoeba-example",,tatoeba:13479409
Arbeitslosigkeit,,unemployment,,,Die Arbeitslosigkeit wächst.,Unemployment is rising.,"bulk-import,tatoeba-example",,tatoeba:12455603
Arbeitstag,,working-day,,,Wie war dein Arbeitstag?,How was your day at work?,"bulk-import,tatoeba-example",,tatoeba:10290207
Argument,,argument,,,Gutes Argument.,Fair point.,"bulk-import,tatoeba-example",,tatoeba:12193539
Argwohn,,suspicion,,,Solche Reden werden Argwohn hervorrufen.,Talk like that will raise suspicion.,"bulk-import,tatoeba-example",,tatoeba:3973199
Arm,,arm,,,Armer Hund!,Poor dog.,"bulk-import,tatoeba-example",,tatoeba:12166239
Armbanduhr,,wristwatch,,,Tom trug eine Armbanduhr.,Tom was wearing a watch.,"bulk-import,tatoeba-example",,tatoeba:12465048
Armut,,poverty,,,Armut führt zu Verbrechen.,Poverty leads to crime.,"bulk-import,tatoeba-example",,tatoeba:11015130
Aroma,,flavour,,,Der Kaffee hat ein gutes Aroma.,The coffee has nice aroma.,"bulk-import,tatoeba-example",,tatoeba:12900972
Arrest,,arrest,,,Steht Tom unter Arrest?,Is Tom under arrest?,"bulk-import,tatoeba-example",,tatoeba:4293417
Art,,kind,,,Tom macht Martial Arts.,Tom practices martial arts.,"bulk-import,tatoeba-example",,tatoeba:5064324
Artikel,,article,,,Lest den Artikel!,Read the article.,"bulk-import,tatoeba-example",,tatoeba:1799279
Arzneimittel,,drug,,,Halte Kinder von Arzneimitteln fern.,Keep children away from medicine.,"bulk-import,tatoeba-example",,tatoeba:12457926
Arzt,,physician,,,Ruf den Arzt!,Call the doctor!,"bulk-import,tatoeba-example",,tatoeba:13615294
Asche,,ashes,,,Friede seiner Asche!,Peace to his ashes!,"bulk-import,tatoeba-example",,tatoeba:1236478
Asien,,Asia,,,China liegt in Asien.,China is in Asia.,"bulk-import,tatoeba-example",,tatoeba:11987866
Assistent,,assistant,,,Tom braucht einen Assistenten.,Tom needs an assistant.,"bulk-import,tatoeba-example",,tatoeba:11692360
Atem,,breath,,,Dein Atem stinkt.,Your breath stinks.,"bulk-import,tatoeba-example",,tatoeba:8227541
atmen,,breathe,,,Atmen Sie?,Are you breathing?,"bulk-import,tatoeba-example",,tatoeba:8861760
