term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Absturz,,crash,,,Beim Absturz des Hubschraubers sind alle Insassen ums Leben gekommen.,All of the occupants were killed when the helicopter crashed.,"bulk-import,web-example",,web:cambridge:absturz
Arm,,arm,,,Er war nicht zufrieden zu Haus und er wurde dadurch arm.,He was not content at home and therefore he became poor.,"bulk-import,web-example",,web:reverso-context:arm
Art,,kind,,,"Manchmal nervt mich seine Art zu reden, besonders wenn er sarkastisch ist.","Sometimes, the way he talks bugs me, especially when he's being sarcastic.","bulk-import,web-example",,web:reverso-context:Art
aufregen,,excite,,,"Er konnte sich über alles aufregen, was ihm nicht passte.",He could get upset over anything that didn't suit him.,"bulk-import,web-example",,web:reverso-context:aufregen
aufschreien,,cry out,,,"Wer in dieser Geschichte dringesteckt hat, muss laut aufschreien.",Whoever was involved in this story must cry out loudly.,"bulk-import,web-example",,web:collins:aufschreien
Aufstand,,rising,,,Doch der erhoffte Aufstand blieb aus und er musste sich zurückziehen.,But the hoped-for uprising failed and he had to retreat.,"bulk-import,web-example",,web:reverso-context:Aufstand
aufsteigend,,rising,,,Tonleitern können für verschiedene Effekte aufsteigend oder absteigend gespielt werden.,Scales can be played ascending or descending for various effects.,"bulk-import,web-example",,web:reverso-context:aufsteigend
aufstreichen,,"spread (irr.)",,,Ich streiche Butter auf mein Brot.,I spread butter on my bread.,"bulk-import,web-example",,web:germantoenglish:Butter
aufwärts,,upwards,,,Die Straße geht aufwärts.,The road goes upwards.,"bulk-import,web-example",,web:langenscheidt:aufwaerts
Augapfel,,eye-ball,,,Du bist mein Augapfel.,You're the apple of my eye.,"bulk-import,web-example",,web:reverso-context:mein-augapfel
Auslaß,,outlet,,,Der Auslass des Absperrhahns muss zum Entnehmen des destillierten Wassers zugänglich sein.,The outlet of the stopcock must be attainable for taking distilled water.,"bulk-import,web-example",,web:reverso-context:outlet
ausstehend,,outstanding,,,Ihre Bestellung behält weiterhin den Status Ausstehend.,Your order will continue to have a status of pending.,"bulk-import,web-example",,web:reverso-context:ausstehend
aß,,ate,,,Die Suppe war zu scharf; ich aß sie trotzdem ganz auf.,The soup was too spicy; I ate it all just the same.,"bulk-import,web-example",,web:reverso-context:ass
Bach,,brook,,,Ein kleiner Bach floss vom Kamm herab und lieferte frisches Wasser.,A small stream flowed down from the ridge and provided fresh water.,"bulk-import,web-example",,web:reverso-context:Bach
band,,bound,,,Er band den Sack mit einer Schnur zu.,He tied the sack up with a piece of string.,"bulk-import,web-example",,web:langenscheidt:band
bedenken,,mind,,,"Wir sollten die Folgen bedenken, wenn er sie nicht zurückbringt.",We should consider the implications if he doesn't bring her back.,"bulk-import,web-example",,web:reverso-context:bedenken
bedeutend,,important,,,"Diese Sektoren müssen als wirtschaftlich, sozial oder ökologisch bedeutend gelten.","These sectors must be considered important for economic, social or environmental reasons.","bulk-import,web-example",,web:reverso-dictionary:bedeutend
