term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
begehren,,desire,,,Begehren führt zu Leid.,Desire leads to suffering.,"bulk-import,tatoeba-example-short",,tatoeba:9993484
begierig,,eager,,,Tom war begierig darauf loszulegen.,Tom was eager to get started.,"bulk-import,tatoeba-example-short",,tatoeba:7999359
beginnen,,begin (irr.),,,Beginnen wir?,Shall we begin?,"bulk-import,tatoeba-example-short",,tatoeba:7796094
begleiten,,see (irr.),,,Wir begleiten dich.,We are with you.,"bulk-import,tatoeba-example-short",,tatoeba:4187755
begonnen,,begun,,,Thomas begann.,Tom began.,"bulk-import,tatoeba-example-short",,tatoeba:8861629
begraben,,bury,,,Tom wurde gestern begraben.,Tom was buried yesterday.,"bulk-import,tatoeba-example-short",,tatoeba:7071589
Begrenzung,,limitation,,,"Er erklärte, dass ein Übereinkommen über die Begrenzung eines nuklearen Kriegs nur schaden würde.",He has declared that any convention on limiting nuclear war will only bring harm.,"bulk-import,tatoeba-example-short",,tatoeba:1872050
begrüßen,,greet,,,Begrüßen wir sie!,Let's go say hi to them.,"bulk-import,tatoeba-example-short",,tatoeba:11662536
Begrüßung,,greeting,,,Vielen Dank für die herzliche Begrüßung!,Thanks for your warm welcome!,"bulk-import,tatoeba-example-short",,tatoeba:5812100
begünstigen,,favour,,,"Einen Verbrecher zu unterstützen, heißt Verbrechen zu begünstigen.",To support a criminal is to condone crime.,"bulk-import,tatoeba-example-short",,tatoeba:2771851
behalten,,kept,,,Behalte das!,Keep this.,"bulk-import,tatoeba-example-short",,tatoeba:8878195
behandeln,,treat,,,Tierärzte behandeln Tiere.,Vets give treatment to animals.,"bulk-import,tatoeba-example-short",,tatoeba:5912747
Behandlung,,treatment,,,Die Behandlung scheint anzuschlagen.,The treatment appears to be working.,"bulk-import,tatoeba-example-short",,tatoeba:5867034
behaupten,,claim,,,Ich kann nichts behaupten.,I can't say anything for sure.,"bulk-import,tatoeba-example-short",,tatoeba:13061669
Behauptung,,claim,,,Diese Behauptungen sind falsch.,These claims are false.,"bulk-import,tatoeba-example-short",,tatoeba:8496522
beherbergen,,house,,,Das Hotel kann 400 Gäste beherbergen.,The hotel can accommodate 400 guests.,"bulk-import,tatoeba-example-short",,tatoeba:10003767
beherrschen,,control,,,Beherrschen Sie sich!,Control yourself!,"bulk-import,tatoeba-example-short",,tatoeba:12671613
behielt,,kept,,,Behalte das!,Keep this.,"bulk-import,tatoeba-example-short",,tatoeba:8878195
behindern,,hinder,,,Behindern Sie keinen!,Don't get in anyone's way.,"bulk-import,tatoeba-example-short",,tatoeba:12435108
Behinderung,,hindrance,,,Dummheit ist keine Behinderung!,Stupidity is not a disability!,"bulk-import,tatoeba-example-short",,tatoeba:12174883
Behälter,,container,,,Öffne den Behälter!,Please open the bottle.,"bulk-import,tatoeba-example-short",,tatoeba:5594755
bei,,near,,,Bei Gott.,Oh god.,"bulk-import,tatoeba-example-short",,tatoeba:727019
beide,,both,,,Beide lächeln.,They're both smiling.,"bulk-import,tatoeba-example-short",,tatoeba:12316295
beigefügt,,enclosed,,,Der Lehrplan ist beigefügt.,The curriculum is attached.,"bulk-import,tatoeba-example-short",,tatoeba:11977557
Bein,,leg,,,Beine hoch!,Lift your legs.,"bulk-import,tatoeba-example-short",,tatoeba:10053741
beinahe,,nearly,,,Beinahe.,Almost.,"bulk-import,tatoeba-example-short",,tatoeba:347935
beiseite,,aside,,,Spaß beiseite!,Put all jokes aside!,"bulk-import,tatoeba-example-short",,tatoeba:5450763
Beispiel,,example,,,Gebt Beispiele!,Give examples.,"bulk-import,tatoeba-example-short",,tatoeba:2332962
beißen,,bite (irr.),,,Beißen.,Bite.,"bulk-import,tatoeba-example-short",,tatoeba:13449952
bekam,,got,,,Rima bekam Angst.,Rima became scared.,"bulk-import,tatoeba-example-short",,tatoeba:13621979
bekannt,,acquainted,,,Was ist bekannt?,What're the facts?,"bulk-import,tatoeba-example-short",,tatoeba:5020524
Bekanntmachung,,notice,,,Ich habe eine wichtige Bekanntmachung.,I have an important announcement.,"bulk-import,tatoeba-example-short",,tatoeba:7128538
bekleiden,,clothe,,,Bleib bekleidet!,Keep your shirt on.,"bulk-import,tatoeba-example-short",,tatoeba:5954676
Bekleidung,,clothing,,,Sie bemängelten meine Bekleidung.,They made fun of my clothes.,"bulk-import,tatoeba-example-short",,tatoeba:4329510
bekommen,,got,,,Wer bekommt?,Whose turn is it?,"bulk-import,tatoeba-example-short",,tatoeba:8447640
beleidigen,,offend,,,Tom ist beleidigend.,Tom is offensive.,"bulk-import,tatoeba-example-short",,tatoeba:6619304
Beleidigung,,offence,,,Das ist keine Beleidigung.,That's not an insult.,"bulk-import,tatoeba-example-short",,tatoeba:3704755
Beleuchtung,,lighting,,,Die Beleuchtung ist perfekt.,The light is perfect.,"bulk-import,tatoeba-example-short",,tatoeba:4049013
Belgien,,Belgium,,,Sie studierte in Belgien.,She studied in Belgium.,"bulk-import,tatoeba-example-short",,tatoeba:12503967
beliebt,,popular,,,Er ist beliebt.,He's popular.,"bulk-import,tatoeba-example-short",,tatoeba:12448806
Beliebtheit,,popularity,,,Trumans Beliebtheit wuchs.,Truman's popularity increased.,"bulk-import,tatoeba-example-short",,tatoeba:12387723
bellen,,bark,,,Bellen Hunde?,Do dogs bark?,"bulk-import,tatoeba-example-short",,tatoeba:6119261
belohnen,,reward,,,Ich will Sie belohnen!,Let me reward you.,"bulk-import,tatoeba-example-short",,tatoeba:12673823
Belohnung,,reward,,,Da ist deine Belohnung.,Here is your reward.,"bulk-import,tatoeba-example-short",,tatoeba:12559040
bemerken,,remark,,,Ich bemerkte.,I looked.,"bulk-import,tatoeba-example-short",,tatoeba:12575764
bemerkenswert,,noticeable,,,Tom ist bemerkenswert.,Tom is remarkable.,"bulk-import,tatoeba-example-short",,tatoeba:6619303
Bemerkung,,remark,,,Seine Bemerkungen waren vorsichtig.,He was guarded in his remarks.,"bulk-import,tatoeba-example-short",,tatoeba:11565460
benachbart,,neighbouring,,,Ungarn und die Slowakei sind benachbart.,Hungary and Slovakia are neighbors.,"bulk-import,tatoeba-example-short",,tatoeba:1274430
Benehmen,,behaviour,,,Benehmen Sie sich!,Behave!,"bulk-import,tatoeba-example-short",,tatoeba:12107220
beneiden,,envy,,,Viele würden Sie beneiden.,Many people would envy you.,"bulk-import,tatoeba-example-short",,tatoeba:12698706
