term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
abhängig,,dependent,,,"Wir sind davon abhängig, dass ihr dies schnell und erfolgreich tut.","We are depending on you to do this quickly and successfully.","bulk-import,web-example",,web:reverso-context:abhaengig
ablehnen,,refuse,,,"Wenn dies nicht der Fall ist, solltest du höflich ablehnen.","If this is not the case, you should politely decline.","bulk-import,web-example",,web:reverso-context:ablehnen
abstimmen,,vote,,,"Wir sollten über den Vorschlag abstimmen, wenn alle bereit sind.",We should vote on the proposition on the table when everyone is ready.,"bulk-import,web-example",,web:reverso-context:abstimmen
Abteilung,,department,,,"Sie verbanden mich direkt mit der Abteilung, die ich brauchte.",They put me through directly to the department I needed.,"bulk-import,web-example",,web:reverso-context:abteilung
Abwechslung,,variety,,,"Das tägliche Einerlei kann eintönig werden, wenn man keine Abwechslung einbaut.",The daily round can become monotonous if you don't add some variety.,"bulk-import,web-example",,web:reverso-context:abwechslung
abwesend,,absent,,,Daniel haben wir leider nicht kennengelernt weil er abwesend war.,Daniel unfortunately we did not know because he was absent.,"bulk-import,web-example",,web:reverso-context:abwesend
Abwesenheit,,absence,,,"Ich höre, du hast dich während meiner Abwesenheit amüsiert.",I hear you've kept yourself entertained in my absence.,"bulk-import,web-example",,web:reverso-context:abwesenheit
abwärts,,downwards,,,"Danach geht es wieder abwärts, mitten durch die unberührte Natur.","Then it goes down again, through the middle of unspoiled nature.","bulk-import,web-example",,web:reverso-context:abwaerts
achtzehn,,eighteen,,,"Heute bin ich achtzehn und mit dem Aussehen sehr zufrieden.","Today, I am eighteen and very content with the look.","bulk-import,web-example",,web:reverso-context:achtzehn
aktiv,,active,,,"Obwohl er im Ruhestand ist, ist er immer noch recht rüstig und aktiv.","Despite being in retirement, he is still quite spry and active.","bulk-import,web-example",,web:reverso-context:aktiv
