term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty
ich,,I,Pronoun for the speaker.,pronoun,Ich bin heute hier.,I am here today.,spoken-common-pronoun,1
du,,you,Pronoun for one person you know well.,pronoun,Du kommst spaeter.,You are coming later.,spoken-common-pronoun,1
wir,,we,Pronoun for the speaker and others.,pronoun,Wir gehen zusammen.,We are going together.,spoken-common-pronoun,1
er,,he,Pronoun for one male person.,pronoun,Er arbeitet heute.,He is working today.,spoken-common-pronoun,1
sie,,she,Pronoun for one female person.,pronoun,Sie kommt morgen.,She is coming tomorrow.,spoken-common-pronoun,1
es,,it,Pronoun for a thing or general situation.,pronoun,Es ist schon spaet.,It is already late.,spoken-common-pronoun,1
man,,one,Pronoun for people in general.,pronoun,Man lernt mit der Zeit.,One learns with time.,spoken-common-pronoun,2
ja,,yes,Used to agree or confirm.,particle,Ja das stimmt.,Yes that is correct.,spoken-common-particle,1
nein,,no,Used to disagree or refuse.,particle,Nein heute nicht.,No not today.,spoken-common-particle,1
nicht,,not,Used to negate something.,particle,Ich komme heute nicht.,I am not coming today.,spoken-common-particle,1
der,,the,Masculine definite article.,article,Der Bus kommt jetzt.,The bus is coming now.,spoken-common-article,1
die,,the,Feminine or plural definite article.,article,Die Frau lacht.,The woman is laughing.,spoken-common-article,1
das,,the,Neuter definite article.,article,Das Kind spielt.,The child is playing.,spoken-common-article,1
ein,,a,Masculine or neuter indefinite article.,article,Ich habe ein Buch.,I have a book.,spoken-common-article,1
eine,,a,Feminine indefinite article.,article,Sie hat eine Frage.,She has a question.,spoken-common-article,1
und,,and,Connects words or ideas.,conjunction,Ich trinke Kaffee und Wasser.,I drink coffee and water.,spoken-common-conjunction,1
in,,in,Preposition for being inside something.,preposition,Ich bin in der Stadt.,I am in the city.,spoken-common-preposition,1
zu,,to,Preposition or particle for direction or purpose.,preposition,Ich gehe zur Arbeit zu Fuss.,I go to work on foot.,spoken-common-preposition,1
mit,,with,Preposition for being together with someone or something.,preposition,Ich komme mit dir.,I am coming with you.,spoken-common-preposition,1
