term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Antriebsfeder,,spring,,,"""Antriebsfeder"" bedeutet ""spring"".","""Antriebsfeder"" means ""spring"".","bulk-import,fallback-example",,fallback-example-v1
Arbeitsvermittlung,,labour exchange,,,"""Arbeitsvermittlung"" bedeutet ""labour exchange"".","""Arbeitsvermittlung"" means ""labour exchange"".","bulk-import,fallback-example",,fallback-example-v1
Artigkeit,,prettiness,,,"""Artigkeit"" bedeutet ""prettiness"".","""Artigkeit"" means ""prettiness"".","bulk-import,fallback-example",,fallback-example-v1
artistisch,,artistic,,,"""artistisch"" bedeutet ""artistic"".","""artistisch"" means ""artistic"".","bulk-import,fallback-example",,fallback-example-v1
attractiv,,attractive,,,"""attractiv"" bedeutet ""attractive"".","""attractiv"" means ""attractive"".","bulk-import,fallback-example",,fallback-example-v1
aufbrauchen,,use up,,,"""aufbrauchen"" bedeutet ""use up"".","""aufbrauchen"" means ""use up"".","bulk-import,fallback-example",,fallback-example-v1
aufhäufen,,pile up,,,"""aufhäufen"" bedeutet ""pile up"".","""aufhäufen"" means ""pile up"".","bulk-import,fallback-example",,fallback-example-v1
aufknöpfen,,unbutton,,,"""aufknöpfen"" bedeutet ""unbutton"".","""aufknöpfen"" means ""unbutton"".","bulk-import,fallback-example",,fallback-example-v1
aufrichten,,raise,,,"""aufrichten"" bedeutet ""raise"".","""aufrichten"" means ""raise"".","bulk-import,fallback-example",,fallback-example-v1
aufrühren,,stir up,,,"""aufrühren"" bedeutet ""stir up"".","""aufrühren"" means ""stir up"".","bulk-import,fallback-example",,fallback-example-v1
aushöhlen,,hollow out,,,"""aushöhlen"" bedeutet ""hollow out"".","""aushöhlen"" means ""hollow out"".","bulk-import,fallback-example",,fallback-example-v1
Auslandspolitik,,foreign politics,,,"""Auslandspolitik"" bedeutet ""foreign politics"".","""Auslandspolitik"" means ""foreign politics"".","bulk-import,fallback-example",,fallback-example-v1
Ausrutscher,,slip,,,"""Ausrutscher"" bedeutet ""slip"".","""Ausrutscher"" means ""slip"".","bulk-import,fallback-example",,fallback-example-v1
Aussteller,,exhibitor,,,"""Aussteller"" bedeutet ""exhibitor"".","""Aussteller"" means ""exhibitor"".","bulk-import,fallback-example",,fallback-example-v1
ausweiten,,widen,,,"""ausweiten"" bedeutet ""widen"".","""ausweiten"" means ""widen"".","bulk-import,fallback-example",,fallback-example-v1
Baumspitze,,top of the tree,,,"""Baumspitze"" bedeutet ""top of the tree"".","""Baumspitze"" means ""top of the tree"".","bulk-import,fallback-example",,fallback-example-v1
bdeckend,,covering,,,"""bdeckend"" bedeutet ""covering"".","""bdeckend"" means ""covering"".","bulk-import,fallback-example",,fallback-example-v1
begehren,,desire,,,"""begehren"" bedeutet ""desire"".","""begehren"" means ""desire"".","bulk-import,fallback-example",,fallback-example-v1
begierig,,eager,,,"""begierig"" bedeutet ""eager"".","""begierig"" means ""eager"".","bulk-import,fallback-example",,fallback-example-v1
beginnen,,begin (irr.),,,"""beginnen"" bedeutet ""begin (irr.)"".","""beginnen"" means ""begin (irr.)"".","bulk-import,fallback-example",,fallback-example-v1
begleiten,,see (irr.),,,"""begleiten"" bedeutet ""see (irr.)"".","""begleiten"" means ""see (irr.)"".","bulk-import,fallback-example",,fallback-example-v1
begonnen,,begun,,,"""begonnen"" bedeutet ""begun"".","""begonnen"" means ""begun"".","bulk-import,fallback-example",,fallback-example-v1
begraben,,bury,,,"""begraben"" bedeutet ""bury"".","""begraben"" means ""bury"".","bulk-import,fallback-example",,fallback-example-v1
Begrenzung,,limitation,,,"""Begrenzung"" bedeutet ""limitation"".","""Begrenzung"" means ""limitation"".","bulk-import,fallback-example",,fallback-example-v1
begrüßen,,greet,,,"""begrüßen"" bedeutet ""greet"".","""begrüßen"" means ""greet"".","bulk-import,fallback-example",,fallback-example-v1
Begrüßung,,greeting,,,"""Begrüßung"" bedeutet ""greeting"".","""Begrüßung"" means ""greeting"".","bulk-import,fallback-example",,fallback-example-v1
begünstigen,,favour,,,"""begünstigen"" bedeutet ""favour"".","""begünstigen"" means ""favour"".","bulk-import,fallback-example",,fallback-example-v1
behalten,,kept,,,"""behalten"" bedeutet ""kept"".","""behalten"" means ""kept"".","bulk-import,fallback-example",,fallback-example-v1
behandeln,,treat,,,"""behandeln"" bedeutet ""treat"".","""behandeln"" means ""treat"".","bulk-import,fallback-example",,fallback-example-v1
Behandlung,,treatment,,,"""Behandlung"" bedeutet ""treatment"".","""Behandlung"" means ""treatment"".","bulk-import,fallback-example",,fallback-example-v1
behaupten,,claim,,,"""behaupten"" bedeutet ""claim"".","""behaupten"" means ""claim"".","bulk-import,fallback-example",,fallback-example-v1
Behauptung,,claim,,,"""Behauptung"" bedeutet ""claim"".","""Behauptung"" means ""claim"".","bulk-import,fallback-example",,fallback-example-v1
beherbergen,,house,,,"""beherbergen"" bedeutet ""house"".","""beherbergen"" means ""house"".","bulk-import,fallback-example",,fallback-example-v1
beherrschen,,control,,,"""beherrschen"" bedeutet ""control"".","""beherrschen"" means ""control"".","bulk-import,fallback-example",,fallback-example-v1
behielt,,kept,,,"""behielt"" bedeutet ""kept"".","""behielt"" means ""kept"".","bulk-import,fallback-example",,fallback-example-v1
behindern,,hinder,,,"""behindern"" bedeutet ""hinder"".","""behindern"" means ""hinder"".","bulk-import,fallback-example",,fallback-example-v1
Behinderung,,hindrance,,,"""Behinderung"" bedeutet ""hindrance"".","""Behinderung"" means ""hindrance"".","bulk-import,fallback-example",,fallback-example-v1
Behälter,,container,,,"""Behälter"" bedeutet ""container"".","""Behälter"" means ""container"".","bulk-import,fallback-example",,fallback-example-v1
bei,,near,,,"""bei"" bedeutet ""near"".","""bei"" means ""near"".","bulk-import,fallback-example",,fallback-example-v1
beide,,both,,,"""beide"" bedeutet ""both"".","""beide"" means ""both"".","bulk-import,fallback-example",,fallback-example-v1
beifügen,,enclose,,,"""beifügen"" bedeutet ""enclose"".","""beifügen"" means ""enclose"".","bulk-import,fallback-example",,fallback-example-v1
beigefügt,,enclosed,,,"""beigefügt"" bedeutet ""enclosed"".","""beigefügt"" means ""enclosed"".","bulk-import,fallback-example",,fallback-example-v1
Bein,,leg,,,"""Bein"" bedeutet ""leg"".","""Bein"" means ""leg"".","bulk-import,fallback-example",,fallback-example-v1
beinahe,,nearly,,,"""beinahe"" bedeutet ""nearly"".","""beinahe"" means ""nearly"".","bulk-import,fallback-example",,fallback-example-v1
beiseite,,aside,,,"""beiseite"" bedeutet ""aside"".","""beiseite"" means ""aside"".","bulk-import,fallback-example",,fallback-example-v1
Beispiel,,example,,,"""Beispiel"" bedeutet ""example"".","""Beispiel"" means ""example"".","bulk-import,fallback-example",,fallback-example-v1
Beitrittsgebühr,,entrance fee,,,"""Beitrittsgebühr"" bedeutet ""entrance fee"".","""Beitrittsgebühr"" means ""entrance fee"".","bulk-import,fallback-example",,fallback-example-v1
beißen,,bite (irr.),,,"""beißen"" bedeutet ""bite (irr.)"".","""beißen"" means ""bite (irr.)"".","bulk-import,fallback-example",,fallback-example-v1
bekam,,got,,,"""bekam"" bedeutet ""got"".","""bekam"" means ""got"".","bulk-import,fallback-example",,fallback-example-v1
bekannt,,acquainted,,,"""bekannt"" bedeutet ""acquainted"".","""bekannt"" means ""acquainted"".","bulk-import,fallback-example",,fallback-example-v1
Bekanntmachung,,notice,,,"""Bekanntmachung"" bedeutet ""notice"".","""Bekanntmachung"" means ""notice"".","bulk-import,fallback-example",,fallback-example-v1
bekleiden,,clothe,,,"""bekleiden"" bedeutet ""clothe"".","""bekleiden"" means ""clothe"".","bulk-import,fallback-example",,fallback-example-v1
Bekleidung,,clothing,,,"""Bekleidung"" bedeutet ""clothing"".","""Bekleidung"" means ""clothing"".","bulk-import,fallback-example",,fallback-example-v1
bekommen,,got,,,"""bekommen"" bedeutet ""got"".","""bekommen"" means ""got"".","bulk-import,fallback-example",,fallback-example-v1
beleidigen,,offend,,,"""beleidigen"" bedeutet ""offend"".","""beleidigen"" means ""offend"".","bulk-import,fallback-example",,fallback-example-v1
Beleidigung,,offence,,,"""Beleidigung"" bedeutet ""offence"".","""Beleidigung"" means ""offence"".","bulk-import,fallback-example",,fallback-example-v1
Beleuchtung,,lighting,,,"""Beleuchtung"" bedeutet ""lighting"".","""Beleuchtung"" means ""lighting"".","bulk-import,fallback-example",,fallback-example-v1
