term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
abbiegen,,turn,,,An der nächsten Kreuzung nach links abbiegen in die Middenvliet.,At the next intersection turn left into the Middenvliet.,"bulk-import,web-example",,web:reverso-context:abbiegen-in
Abend,,evening,,,"Es ist Abend, und draußen regnet es.","It's evening and it's raining outside.","bulk-import,web-example",,web:reverso-context:es-ist-abend
Abendessen,,dinner,,,Ich esse zu Abend mit meiner Tochter.,I'm having dinner with my daughter.,"bulk-import,web-example",,web:reverso-context:ich-esse-zu-abend
aber,,but,,,"Es ist hart, aber du schaffst das.","It's hard, but you'll make it through this.","bulk-import,web-example",,web:reverso-context:aber-du-schaffst-das
abfahren,,"leave (irr.)",,,Der Zug fährt um neun Uhr ab.,The train leaves at nine o'clock.,"bulk-import,web-example",,web:reverso-context:zug-faehrt-um
Absicht,,purpose,,,"Entschuldige, das war nicht meine Absicht.","Sorry, that wasn't my intention.","bulk-import,web-example",,web:reverso-context:war-nicht-meine-absicht
absichtlich,,"on purpose",,,Tom hat das absichtlich getan.,Tom did that on purpose.,"bulk-import,web-example",,web:reverso-context:did-that-on-purpose
allein,,alone,,,"Es ist dunkel und still, ich bin allein.","It's dark and quiet, I am alone.","bulk-import,web-example",,web:reverso-context:ich-bin-allein
Angst,,fear,,,"Ich habe Angst, wenn ich allein bin.","I'm scared to be alone. I feel in danger all the time.","bulk-import,web-example",,web:reverso-context:ich-habe-angst-wenn
anbieten,,offer,,,Darf ich Ihnen etwas zu trinken anbieten?,May I offer you a drink?,"bulk-import,web-example",,web:reverso-context:etwas-zu-trinken-anbieten
anrufen,,telephone,,,"Falls du jemals in der Gegend bist, ruf mich an.","If you're ever in the area, give me a call.","bulk-import,web-example",,web:reverso-context:ruf-mich-an
